state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_rate,civ_rate,year
Alabama,403950,3344721,0.120772405232006,135,535,0.252336448598131,,0.0,,0.0,33.4199777200148,13.6018751545088,2005
Alaska,74482,446969,0.166637954757489,24,131,0.183206106870229,22.0,0.916666666666667,2.0,0.083333333333333,32.2225504148653,28.725834727118,2005
Arizona,538880,4238996,0.127124441731014,225,945,0.238095238095238,,0.0,,0.0,41.7532660332542,19.4588493982351,2005
Arkansas,259304,2023819,0.128126082421402,81,400,0.2025,79.0,0.975308641975309,2.0,0.024691358024691,31.2374664486472,18.0786221709648,2005
California,2193336,25543447,0.085866876150271,633,3206,0.197442295695571,613.0,0.968404423380727,20.0,0.031595576619273,28.8601472824957,11.0192195660226,2005
Colorado,402091,3371999,0.119244104164918,191,800,0.23875,183.0,0.958115183246073,8.0,0.041884816753927,47.5016849419659,20.5056856980082,2005
Connecticut,261294,2559377,0.102092813993405,52,295,0.176271186440678,,0.0,,0.0,19.9009544803937,10.5740306159525,2005
Delaware,79151,620779,0.127502702249915,17,83,0.204819277108434,17.0,1.0,0.0,0.0,21.4779345807381,12.1854852407926,2005
Florida*,1717801,13289030,0.12926458891281,540,2347,0.230080954409885,,0.0,,0.0,31.4355388080459,15.6163187160154,2005
Georgia,731466,6437595,0.11362410962479,182,924,0.196969696969697,,0.0,,0.0,24.8815392649829,13.0035616089296,2005
Hawaii,116793,917646,0.127274569932196,15,107,0.14018691588785,,0.0,,0.0,12.8432354678791,11.4877511852987,2005
Idaho,132844,1019061,0.130359222853195,65,228,0.285087719298246,63.0,0.969230769230769,2.0,0.030769230769231,48.9295715275059,18.3927864168708,2005
Illinois,853338,9197524,0.092779100114335,219,1086,0.201657458563536,,0.0,,0.0,25.6639221504257,10.3904682853426,2005
Indiana,505259,4496185,0.11237504684527,112,745,0.150335570469799,111.0,0.991071428571429,1.0,0.008928571428571,22.1668490813622,15.8609806345695,2005
Iowa,249911,2192545,0.113982153159912,70,333,0.21021021021021,,0.0,,0.0,28.0099715498718,13.5383196217095,2005
Kansas,238506,1981969,0.120337906395105,86,362,0.237569060773481,82.0,0.953488372093023,4.0,0.046511627906977,36.0577930953519,15.8305625069187,2005
Kentucky,341752,3073085,0.111208118226473,44,566,0.07773851590106,,0.0,,0.0,12.8748332123879,19.1115473653341,2005
Louisiana,337822,3234969,0.104428203175981,101,505,0.2,,0.0,,0.0,29.8974015901866,13.9447532348203,2005
Maine,145352,1003350,0.144866696566502,49,175,0.28,,0.0,,0.0,33.7112664428422,14.6853489168972,2005
Maryland,480654,4038360,0.119022078269396,105,472,0.222457627118644,,0.0,,0.0,21.8452358661324,10.3156359744172,2005
