state,value
Alabama,403950
Alaska,74482
Arizona,538880
Arkansas,259304
California,2193336
Colorado,402091
Connecticut,261294
Delaware,79151
Florida*,1717801
Georgia,731466
Hawaii,116793
Idaho,132844
Illinois,853338
Indiana,505259
Iowa,249911
Kansas,238506
Kentucky,341752
Louisiana,337822
Maine,145352
Maryland,480654
Massachusetts,453249
Michigan,782823
Minnesota,407255
Mississippi,226398
Missouri***,533517
Montana,100637
Nebraska,154607
Nevada,233633
New Hampshire,129603
New Jersey,546437
New Mexico,177687
New York,1098272
North Carolina,723831
North Dakota**,58479
Ohio,982418
Oklahoma,341464
Oregon,350365
Pennsylvania,1088379
Rhode Island,88971
South Carolina,400152
South Dakota,67985
Tennessee,509881
Texas,1612948
Utah,143301
Vermont,57633
Virginia,757224
Washington,628595
West Virginia,175697
Wisconsin,444679
Wyoming,55519
Total,23395625
Alabama,408917
Alaska,70067
Arizona,558906
Arkansas,258170
California,2142367
Colorado,416250
Connecticut,260131
Delaware,79438
Florida*,1747213
Georgia,732779
Hawaii,117468
Idaho,133128
Illinois,845481
Indiana,513266
Iowa,253158
Kansas,234507
Kentucky,340830
Louisiana,324880
Maine,142205
Maryland,475371
Massachusetts,453873
Michigan,765929
Minnesota,410003
Mississippi,212612
Missouri***,526916
Montana,102845
Nebraska,151844
Nevada,236901
New Hampshire,130690
New Jersey,527080
New Mexico,176274
New York,1098766
North Carolina,752508
North Dakota**,57536
Ohio,961616
Oklahoma,333358
Oregon,350730
Pennsylvania,1073558
Rhode Island,82129
South Carolina,398128
South Dakota,73535
Tennessee,502295
Texas,1660455
Utah,154774
Vermont,55512
Virginia,771782
Washington,629296
West Virginia,178121
Wisconsin,447851
Wyoming,54263
Total,23385712
Alabama,406762
Alaska,74614
Arizona,555500
Arkansas,251482
California,2079606
Colorado,414228
Connecticut,245359
Delaware,78075
Florida*,1709427
Georgia,710726
Hawaii,124261
Idaho,131795
Illinois,803229
Indiana,491684
Iowa,250852
Kansas,231387
Kentucky,335093
Louisiana,315184
Maine,142506
Maryland,461184
Massachusetts,437588
Michigan,749774
Minnesota,405354
Mississippi,214698
Missouri***,511821
Montana,102649
Nebraska,149306
Nevada,233596
New Hampshire,122646
New Jersey,497130
New Mexico,178400
New York,1041376
North Carolina,734260
North Dakota**,55232
Ohio,953338
Oklahoma,325423
Oregon,348422
Pennsylvania,1044143
Rhode Island,80703
South Carolina,396961
South Dakota,75167
Tennessee,510068
Texas,1613252
Utah,155573
Vermont,55351
Virginia,757595
Washington,622263
West Virginia,171036
Wisconsin,450802
Wyoming,51494
Total,22858375
Alabama,402072
Alaska,67833
Arizona,551053
Arkansas,243494
California,2034700
Colorado,415094
Connecticut,237074
Delaware,75987
Florida*,1655847
Georgia,709363
Hawaii,106372
Idaho,135394
Illinois,782182
Indiana,486149
Iowa,245912
Kansas,231810
Kentucky,329768
Louisiana,304756
Maine,136533
Maryland,445742
Massachusetts,422508
Michigan,720840
Minnesota,391485
Mississippi,209831
Missouri***,508839
Montana,100543
Nebraska,147482
Nevada,227277
New Hampshire,121145
New Jersey,485053
New Mexico,171725
New York,1032622
North Carolina,746259
North Dakota**,54688
Ohio,926863
Oklahoma,316987
Oregon,349013
Pennsylvania,1023082
Rhode Island,82464
South Carolina,391275
South Dakota,70852
Tennessee,503323
Texas,1603981
Utah,146547
Vermont,53175
Virginia,720855
Washington,606459
West Virginia,171744
Wisconsin,438533
Wyoming,50704
Total,22393289
Alabama,397405
Alaska,70458
Arizona,532634
Arkansas,244016
California,1963556
Colorado,395350
Connecticut,222632
Delaware,77232
Florida*,1591864
Georgia,693809
Hawaii,106310
Idaho,122552
Illinois,772410
Indiana,471717
Iowa,234659
Kansas,218993
Kentucky,319199
Louisiana,315813
Maine,132238
Maryland,438707
Massachusetts,414595
Michigan,706848
Minnesota,381202
Mississippi,203152
Missouri***,498159
Montana,96661
Nebraska,147275
Nevada,218908
New Hampshire,114796
New Jersey,464094
New Mexico,168545
New York,994358
North Carolina,731015
North Dakota**,52159
Ohio,897333
Oklahoma,313711
Oregon,343557
Pennsylvania,988006
Rhode Island,75328
South Carolina,385544
South Dakota,68313
Tennessee,502280
Texas,1581873
Utah,149221
Vermont,51899
Virginia,728528
Washington,585202
West Virginia,156260
Wisconsin,430296
Wyoming,51008
Total,21821680
Alabama,401114
Alaska,71399
Arizona,529692
Arkansas,247571
California,1947570
Colorado,391203
Connecticut,225379
Delaware,73311
Florida*,1616185
Georgia,696844
Hawaii,117301
Idaho,125328
Illinois,751492
Indiana,469627
Iowa,233244
Kansas,215780
Kentucky,317278
Louisiana,312187
Maine,128123
Maryland,429774
Massachusetts,398252
Michigan,692922
Minnesota,377976
Mississippi,204156
Missouri***,495420
Montana,95353
Nebraska,144695
Nevada,230314
New Hampshire,114826
New Jersey,453498
New Mexico,178732
New York,951890
North Carolina,726084
North Dakota**,52076
Ohio,892782
Oklahoma,323461
Oregon,331584
Pennsylvania,981646
Rhode Island,72835
South Carolina,409008
South Dakota,69780
Tennessee,487899
Texas,1609732
Utah,152839
Vermont,48498
Virginia,742131
Washington,592322
